nama;tipe;length;koord
Bandung;city;0;107.6191228 -6.9174639
Banjar;city;0;108.5342487 -7.3706874
Bekasi;city;0;106.9830865 -6.2733758
Bogor;city;0;106.8060388 -6.5971469
Cimahi;city;0;107.5413039 -6.8840816
Cirebon;city;0;108.5523164 -6.7320229
Depok;city;0;106.7942405 -6.4024844
Sukabumi;city;0;106.9240554 -6.9434509
Tasikmalaya;city;0;108.214028 -7.3788186
Cimahi - Bandung;road;14.2;107.5413039 -6.8840816,107.540674 -6.884489,107.540078 -6.883821,107.536519 -6.889431,107.544202 -6.898190,107.584027 -6.891543,107.602052 -6.900405,107.609776 -6.898019,107.617436 -6.898872,107.6191228 -6.9174639
Banjar - Tasikmalaya;road;46.2;108.214028 -7.3788186,108.214657 -7.367754,108.236090 -7.371088,108.247440 -7.340772,108.352516 -7.361085,108.440672 -7.369916,108.501224 -7.383162,108.5342487 -7.3706874
Banjar - Cirebon;road;108;108.5342487 -7.3706874,108.495989 -7.262038,108.510345 -7.125417,108.395197 -7.077043,108.396038 -7.004471,108.461596 -6.997798,108.489332 -6.953581,108.520469 -6.783295,108.5523164 -6.7320229
Tasikmalaya - Cirebon;road;112;108.214028 -7.3788186,108.194701 -7.251315,108.218060 -7.130292,108.262087 -7.130062,108.281051 -7.086356,108.296344 -7.088177,108.314390 -7.038396,108.369752 -7.016843,108.396038 -7.004471,108.461596 -6.997798,108.489332 -6.953581,108.520469 -6.783295,108.5523164 -6.7320229
Cirebon - Cimahi;road;208;108.5523164 -6.7320229,108.528705 -6.763777,108.390874 -6.689081,108.139925 -6.696577,107.422015 -6.423960,107.449602 -6.795454,107.534356 -6.899606,107.5413039 -6.8840816
Bandung - Tasikamalaya;road;115;107.6191228 -6.9174639,107.645195 -6.965039,107.758977 -6.949251,107.866335 -7.009404,108.135309 -7.120801,108.188257 -7.263685,108.214028 -7.3788186
Sukabumi - Cimahi;road;86.8;106.9240554 -6.9434509,107.003630 -6.891482,107.044829 -6.868304,107.168425 -6.823308,107.204131 -6.801491,107.401884 -6.823308,107.471922 -6.835580,107.503508 -6.868304,107.5413039 -6.8840816
Sukabumi - Bogor;road;68.7;106.9240554 -6.9434509,106.923348 -6.951147,106.770895 -6.868918,106.759900 -6.820291,106.790885 -6.766696,106.840861 -6.655517,106.833389 -6.597625,106.806850 -6.605330,106.8060388 -6.5971469
Bogor - Depok;road;44;106.8060388 -6.5971469,106.833965 -6.595741,106.896450 -6.384245,106.813316 -6.369666,106.813083 -6.399579,106.796090 -6.404239,106.7942405 -6.4024844
Bogor - Bekasi;road;53.4;106.8060388 -6.5971469,106.833965 -6.595741,106.896450 -6.384245,106.883740 -6.305608,106.957931 -6.291791,106.965428 -6.294734,106.970327 -6.280881,106.975147 -6.278395,106.981263 -6.269703,106.984949 -6.266073,106.986990 -6.270024,106.983987 -6.271597,106.9830865 -6.2733758
Depok - Bekasi;road;39;106.7942405 -6.4024844,106.804778 -6.290896,106.883740 -6.305608,106.957931 -6.291791,106.965428 -6.294734,106.970327 -6.280881,106.975147 -6.278395,106.981263 -6.269703,106.984949 -6.266073,106.986990 -6.270024,106.983987 -6.271597,106.9830865 -6.2733758
Cirebon - Bekasi;road;202;108.5523164 -6.7320229,108.528705 -6.763777,108.390874 -6.689081,108.139925 -6.696577,107.422015 -6.423960,107.242984 -6.350485,106.9830865 -6.2733758